debtor_id,agent_id,times_contacted,last_contact_date
D001,CA001,3,2024-09-25
D002,CA002,2,2024-09-20
D003,CA003,4,2024-09-15
cold,market,22367,sometimes
stop,large,36295,story
garden,boy,11384,listen
expect,low,37129,show
describe,boy,67148,item
itself,face,32248,computer
theory,family,22055,better
throughout,green,720,fear
around,as,53587,no
fine,establish,35572,business
full,their,21732,difference
pass,Congress,74777,too
rise,career,83784,discuss
eight,whom,62173,throw
stock,career,33559,learn
son,middle,99094,group
on,reach,45028,traditional
matter,each,99895,hour
public,cost,90259,job
could,toward,93070,act
stay,red,90704,center
child,foot,55009,couple
identify,dog,21376,early
of,finally,56404,term
hot,condition,55581,chair
which,accept,56600,allow
future,debate,36161,although
Mr,not,65725,laugh
industry,morning,72720,town
cause,trouble,9803,many
serve,Congress,76431,artist
control,hope,37963,clear
first,price,18191,different
fish,why,42555,realize
expect,weight,45403,boy
use,add,91656,process
arm,activity,54490,represent
fire,government,34685,woman
may,where,58304,occur
mean,open,26771,institution
watch,business,93297,nothing
computer,your,4175,opportunity
particularly,beyond,17405,direction
among,play,46341,need
answer,kind,39465,sign
former,six,27975,a
if,couple,96443,really
week,contain,69083,low
over,serious,59755,your
stop,wall,60740,activity
probably,ago,25919,per
general,Mrs,88135,budget
box,message,65708,factor
success,outside,80564,step
think,training,3747,course
herself,by,15715,better
candidate,according,33178,national
air,energy,88730,show
stuff,deal,22052,national
anyone,themselves,51085,bag
official,claim,83972,medical
open,health,66543,since
production,threat,74727,describe
book,discover,57574,time
send,control,84657,type
eat,ahead,92468,board
election,bag,13266,personal
fill,near,20569,whether
expert,anyone,27019,professor
probably,defense,21681,indicate
reduce,health,13876,manage
hundred,war,5041,machine
because,tend,65044,industry
eight,exist,32521,piece
staff,even,39739,ready
assume,bad,6931,someone
enjoy,by,3212,range
hour,chance,42741,soldier
long,spend,7735,easy
cold,why,79732,plan
make,such,22650,method
truth,clearly,13255,one
fight,present,9576,operation
job,floor,31210,over
moment,thing,67660,reach
member,office,37666,decide
grow,because,43535,carry
top,recognize,41107,time
staff,east,40271,first
serve,even,82258,generation
scientist,but,86225,suggest
president,alone,45418,air
thus,change,69074,cause
suffer,new,99122,hair
very,look,32669,either
student,and,87166,total
administration,plan,15404,four
before,success,57965,lawyer
get,have,4601,herself
material,next,14944,somebody
choose,budget,70130,American
mean,low,25818,current
past,fear,38009,everyone
ground,bank,29660,receive
but,region,63139,think
style,church,6146,whose
better,dinner,36706,ok
ahead,far,37924,whether
never,sit,48917,compare
wide,degree,39583,ever
simply,skin,9274,particularly
something,consumer,20320,environment
right,build,77216,entire
physical,successful,85408,ground
through,game,3487,process
citizen,born,67343,bed
could,factor,33078,form
campaign,organization,59386,exactly
study,product,41680,hot
do,health,37594,head
life,institution,43723,point
story,letter,81859,yourself
would,garden,23073,travel
he,recently,31960,maintain
military,dark,92379,record
letter,professional,72633,physical
close,morning,84565,series
stay,beyond,52842,pressure
true,them,55201,hold
response,quickly,67595,begin
few,respond,56138,sort
cold,someone,81865,certainly
ask,worry,28222,leader
where,year,54573,each
carry,computer,78451,huge
particular,drug,23531,price
administration,hold,13376,unit
early,certainly,94661,threat
item,push,38588,in
picture,despite,47388,minute
indicate,red,50590,instead
risk,down,55857,summer
month,art,49384,business
Republican,yet,6019,learn
speech,door,34907,heart
machine,far,29747,attack
study,American,59379,major
skin,pressure,18400,local
yet,start,10583,office
yet,economy,71343,month
lead,strong,7157,sort
sure,paper,25603,finish
age,begin,61289,happen
at,product,74517,drop
sense,conference,68,range
fund,film,39564,air
together,join,52870,from
music,similar,44541,story
happy,age,56266,us
simply,movie,71180,mind
gun,all,89841,front
probably,fine,15751,customer
concern,on,97058,price
future,street,37335,why
international,yeah,76191,after
enough,light,90377,successful
south,tend,18526,type
material,own,54404,tend
rule,direction,49879,guess
race,enter,74343,per
effort,security,48762,religious
rule,become,116,cell
town,interest,20803,share
quality,hour,97845,small
ask,record,82764,visit
physical,house,39314,culture
store,big,48631,stand
relationship,stay,27737,campaign
page,heavy,1965,work
chair,upon,66876,approach
might,relationship,19574,responsibility
travel,less,97915,individual
participant,gun,11189,along
development,must,37043,once
upon,camera,18733,chance
data,will,70791,let
at,herself,30246,us
read,address,28086,evidence
blood,big,79949,production
exactly,inside,65573,color
indeed,college,5740,miss
third,me,4691,east
stage,visit,6588,care
modern,white,35576,enough
she,describe,53105,program
nor,wait,54272,outside
control,our,16522,sell
put,push,15548,tell
serious,appear,49114,against
player,theory,23028,herself
practice,hair,92592,clearly
reason,even,67311,clear
hard,bank,6904,risk
security,lose,57541,specific
professor,so,80072,amount
professional,mind,21083,hospital
month,trip,31884,exist
sure,attorney,58614,only
TV,light,97431,program
indeed,heavy,58969,dark
level,campaign,52807,organization
far,continue,57026,cup
wonder,remember,17292,go
tonight,where,96234,kitchen
yet,pretty,98458,outside
recently,because,62799,end
near,but,64410,give
election,sometimes,55126,feeling
them,life,74766,above
never,summer,89703,visit
know,past,10498,make
science,effect,70068,together
feeling,executive,57948,never
weight,hot,19751,officer
turn,option,66097,budget
scene,behavior,44025,magazine
strategy,thought,54618,born
brother,nation,13133,out
expect,number,65338,yes
relate,it,20859,bag
sometimes,most,12239,game
about,parent,94957,debate
table,TV,48207,wear
number,social,23609,list
contain,how,26186,keep
general,mean,44718,government
this,leader,53147,identify
stand,together,43189,assume
can,again,28030,road
stage,brother,52096,product
environment,field,58240,under
daughter,democratic,66828,network
popular,they,36976,sign
issue,machine,77494,music
board,rise,25038,reality
part,debate,33162,laugh
sometimes,reveal,87131,quickly
executive,another,47764,unit
fine,agent,84739,final
buy,culture,2281,cell
think,performance,16267,full
cell,site,95980,clear
finally,campaign,72188,not
scene,might,26567,future
feeling,concern,36980,husband
check,sea,96463,cell
fly,performance,61727,which
natural,floor,7116,big
back,college,33519,eye
body,sell,7288,mind
skin,our,44305,event
piece,thing,12089,during
pass,sit,31664,a
exactly,manage,11603,though
fear,interview,8569,scientist
indicate,ball,58269,give
per,TV,82134,ever
require,bar,58351,including
wait,home,52277,first
plant,spend,25509,certain
finish,card,14898,law
building,half,16517,anyone
impact,simple,15021,management
although,image,51834,visit
should,result,49014,century
attention,so,24285,issue
section,same,75423,series
at,industry,38060,perform
light,effect,95994,lead
or,few,132,customer
leave,race,40567,need
report,wide,29098,work
business,happy,9342,listen
heart,thus,6854,everything
less,many,55534,wall
group,about,88922,dinner
popular,allow,45001,various
win,son,84606,such
claim,thousand,47075,feeling
environmental,cup,54870,the
television,air,69113,Democrat
week,despite,65903,building
style,network,45623,central
past,carry,38287,she
girl,now,3186,program
brother,policy,57314,well
walk,great,45781,glass
over,herself,63766,same
region,area,51481,car
space,age,83517,project
light,but,33926,reflect
certainly,real,20346,member
two,main,20313,as
school,who,31076,pressure
buy,agent,15063,radio
pick,probably,83861,action
already,north,57718,wall
hot,white,37925,after
safe,walk,52865,themselves
themselves,official,84004,simple
positive,focus,80114,hand
newspaper,red,37749,down
usually,cup,25887,what
hour,participant,26602,step
relationship,better,63228,option
executive,its,48875,fish
himself,available,35417,second
over,improve,2103,seek
concern,rule,63677,ahead
lay,themselves,90233,wish
certain,born,81016,drop
you,kid,56000,stage
pattern,law,50053,important
into,Democrat,85203,blue
chair,institution,55637,car
time,one,70109,that
top,entire,91916,over
theory,nor,1166,truth
decision,including,50128,this
first,front,17809,will
debate,forward,378,first
then,pass,10437,become
cell,opportunity,23416,feel
may,teacher,35196,light
agent,project,48468,run
evidence,and,54464,her
enough,production,2968,modern
capital,white,25453,Mr
husband,as,85314,close
national,might,60064,person
easy,site,22013,probably
message,dark,56933,hit
debate,receive,78983,speak
produce,few,85346,by
for,involve,7041,situation
option,would,4227,outside
able,democratic,91845,discussion
white,far,12081,discuss
as,movement,86204,pull
under,professional,56402,onto
story,realize,82598,enjoy
lawyer,sit,52881,city
sport,since,1446,home
goal,black,79567,little
international,current,22163,include
fly,voice,65574,cultural
sound,economy,27054,interest
treatment,design,90978,he
hit,wrong,42752,what
our,opportunity,86159,man
information,card,91030,sense
gun,top,88541,which
number,wish,14081,hour
development,process,52831,husband
recently,fall,6655,fear
organization,authority,34046,skin
moment,yard,94151,parent
enough,suffer,99967,believe
heavy,black,18804,others
theory,yeah,13735,together
road,often,5370,single
industry,such,11212,figure
sister,night,42366,help
record,mean,2245,condition
forward,wall,41748,gas
once,now,27626,under
current,expect,40889,this
staff,source,79221,power
identify,seem,27358,through
ever,too,46119,Congress
street,seem,8030,trouble
kid,market,41626,product
idea,really,85622,read
walk,court,13049,happen
when,audience,43810,gun
hear,concern,13031,sound
director,Republican,63940,same
group,know,17992,bring
continue,look,12035,use
likely,music,63515,really
baby,subject,97529,could
another,east,34125,garden
knowledge,carry,17570,yeah
kind,PM,61841,night
seven,order,18182,yes
all,camera,10686,green
shoulder,chance,22156,tough
cold,question,37355,leg
campaign,artist,66875,new
top,response,75680,action
visit,someone,66004,agency
support,true,43220,without
decision,quite,21632,head
face,provide,11574,back
ten,or,12471,into
finally,explain,61923,single
office,whatever,96909,game
employee,child,64866,teach
gun,whole,68844,letter
draw,order,53580,beyond
pretty,group,45375,single
skill,manager,69378,out
receive,artist,66987,sometimes
social,discover,87003,those
computer,here,3488,information
boy,quality,51322,Mrs
management,body,22843,government
say,person,90979,prepare
image,indicate,93840,drive
score,herself,63373,treat
open,program,51599,dark
analysis,discussion,27705,follow
baby,area,99730,member
and,stay,7853,question
one,improve,47672,bank
tree,pattern,15084,firm
accept,attorney,45152,sell
weight,line,56127,really
likely,fund,18907,government
garden,picture,62884,important
owner,large,72812,without
success,matter,21960,open
nature,sport,10898,hit
defense,one,65956,eight
tell,agreement,93410,reach
southern,billion,44127,the
his,full,4922,seem
everyone,fill,52158,hear
less,us,68549,western
how,write,4694,expect
particular,continue,82430,age
economic,listen,5660,wind
free,them,68011,my
fear,have,45547,central
push,behavior,32285,wife
able,give,78525,admit
deep,source,76176,tonight
effect,hit,81862,garden
trade,these,29986,avoid
west,seat,36895,get
light,I,68060,under
purpose,hear,89293,social
through,data,67979,capital
site,page,29136,keep
key,son,98447,direction
worker,role,85487,rest
force,conference,75560,today
body,fear,14458,produce
hot,daughter,37014,mind
defense,yeah,78859,whole
possible,wind,68303,list
doctor,leg,1173,four
expect,ten,82110,ok
morning,mission,73221,where
sport,each,68796,quickly
case,worker,48710,already
among,off,98984,any
make,break,49650,he
interesting,would,62725,apply
himself,summer,11506,current
table,however,17668,edge
free,contain,40774,end
anyone,sell,11056,staff
its,protect,25562,language
fine,late,20753,one
young,there,22827,campaign
choose,forget,76591,reach
box,activity,68625,that
store,look,36214,investment
hospital,chair,20433,poor
media,investment,31083,hair
hold,land,32550,last
world,race,33674,air
certainly,audience,98581,education
describe,common,4372,skill
crime,huge,58047,school
old,difficult,20424,necessary
everything,low,82498,rate
letter,sell,72995,heart
task,Mr,92132,foreign
future,collection,93815,know
physical,bag,56526,law
entire,group,2892,near
research,green,38202,rather
watch,full,32133,beat
little,financial,42729,Mrs
financial,base,50043,opportunity
fall,two,90245,behind
deal,seem,39204,else
student,skill,92226,up
risk,degree,61416,provide
business,green,30483,develop
half,vote,90538,need
put,for,35254,exist
friend,song,27409,world
attention,account,82114,worry
officer,wrong,26262,young
later,issue,89024,turn
even,speech,13572,staff
town,total,8272,set
consumer,thank,67330,class
affect,tree,47611,expert
process,particularly,76215,human
rich,toward,47042,do
gun,suffer,79650,yeah
almost,look,41419,view
standard,couple,81163,member
indeed,church,75539,fine
adult,lay,25816,main
us,red,10370,relate
last,push,81528,account
piece,wish,44315,maybe
assume,cultural,6354,thought
low,garden,32207,gas
red,crime,11857,husband
on,true,92335,available
foreign,billion,24362,investment
mind,effort,87759,protect
single,knowledge,37451,if
outside,vote,33847,east
management,contain,7998,travel
school,manager,51149,his
them,add,72357,true
design,today,33178,director
artist,box,85692,decide
avoid,lay,19603,yet
oil,hot,92984,agency
program,such,87296,garden
save,reveal,25993,father
article,daughter,55099,identify
central,blood,50088,probably
buy,look,33015,sea
bill,civil,55351,single
base,person,70354,seat
partner,professional,56860,series
everyone,those,71291,trial
billion,few,52501,election
movie,probably,14472,door
dark,perhaps,86019,speak
Republican,model,19735,dinner
before,today,1455,here
laugh,it,73892,power
store,this,9417,husband
that,soldier,95964,be
hear,same,68136,without
herself,hospital,95325,girl
spend,interview,80954,mean
better,against,78997,sound
field,race,92272,condition
drug,avoid,43438,free
throughout,I,73208,film
hotel,success,50164,agree
animal,boy,79196,something
wrong,wonder,52166,hit
east,director,5649,draw
shoulder,too,80716,both
pick,one,54978,personal
physical,nature,60008,line
public,lawyer,3377,food
do,risk,37501,list
run,method,80017,back
high,course,68760,cold
difficult,throw,86111,sell
one,off,4167,catch
case,address,89295,save
same,radio,61363,cover
loss,control,88962,theory
chair,say,59690,practice
mission,up,98563,special
charge,bad,18194,word
whom,stock,62247,grow
pressure,nothing,36701,movement
range,discuss,94210,market
democratic,response,59181,follow
public,reduce,90260,whose
sense,give,6955,several
any,if,59154,story
mention,including,13301,understand
box,through,99971,itself
real,place,76810,discuss
tree,method,29322,floor
test,rate,3397,partner
now,anyone,68269,career
likely,remember,4328,generation
happen,part,66144,might
project,fund,32256,population
grow,order,59184,feeling
our,total,83886,certainly
product,machine,39612,case
require,per,32318,front
military,wish,95250,world
maintain,if,39914,step
remain,speech,30055,accept
million,ball,10001,really
between,fish,89969,return
teacher,interview,75256,rich
shake,evidence,2672,difference
finally,trouble,71330,a
dinner,true,69498,magazine
pick,attention,42460,particularly
water,international,66739,accept
strategy,knowledge,55415,education
now,common,47153,worry
could,market,38981,real
police,group,83446,its
sister,chair,14939,rich
outside,half,15652,power
per,option,87604,his
great,while,47782,or
partner,security,93932,remain
side,political,70864,effort
week,computer,45762,audience
commercial,amount,16751,physical
about,investment,93549,investment
gas,local,49767,study
way,yeah,10869,country
enough,person,69616,sister
company,point,40480,upon
forget,simply,54209,stay
chance,long,16362,management
seem,weight,75554,four
example,manage,99640,project
baby,current,74133,skill
investment,wonder,33931,practice
list,rather,29446,property
care,current,20150,lot
away,investment,9834,order
matter,world,28319,foreign
act,natural,4590,building
watch,focus,60416,certain
religious,whom,30438,happy
white,southern,23103,glass
example,even,72130,likely
forward,any,24689,worry
article,green,32237,front
run,difficult,12060,condition
get,contain,5023,special
bring,cultural,58420,office
growth,effort,58393,daughter
without,last,53020,measure
election,institution,69330,public
put,her,25229,continue
set,drug,86909,after
a,energy,21982,maybe
book,oil,46771,religious
country,market,4185,environment
the,woman,37192,doctor
suddenly,report,93390,computer
game,common,21623,hard
billion,popular,36688,eat
provide,travel,69989,have
argue,stock,48484,difference
house,at,13117,like
commercial,never,47113,rest
let,ever,15550,get
four,shoulder,75548,natural
song,word,23373,main
color,star,88594,any
agent,may,47721,record
now,return,2990,son
job,figure,77515,study
themselves,check,37657,condition
well,wife,26482,participant
trip,check,45867,receive
happen,name,41189,sense
order,require,65963,time
matter,democratic,18594,meet
none,world,48295,rather
crime,throughout,72234,light
thank,church,99497,outside
rate,foot,49156,their
story,too,27028,per
full,address,82947,mouth
issue,already,23137,TV
property,economic,46155,reduce
which,character,49338,child
old,quickly,95110,how
subject,production,33170,lot
last,analysis,4987,deal
garden,common,42337,shoulder
heart,set,6951,stage
soon,black,57618,wish
suddenly,science,74753,high
size,these,41337,ten
hot,pull,76847,box
dog,study,53724,past
lawyer,public,17013,money
cultural,author,58493,raise
second,suffer,23653,discussion
hundred,conference,12516,matter
firm,require,12399,company
hit,ground,80776,tough
good,send,79366,not
however,paper,12240,author
color,allow,88505,spend
degree,stay,83949,yard
realize,indicate,66706,hand
recently,heart,94009,lose
different,listen,62563,start
table,than,94073,charge
perhaps,every,51247,debate
house,cost,24779,could
option,table,77708,up
director,lose,31204,area
world,then,39433,five
turn,performance,5452,international
raise,possible,42569,hot
central,goal,11585,choose
represent,decade,96600,group
into,term,15158,friend
behind,when,2315,at
drop,weight,43023,early
hold,decide,8174,detail
much,sign,99705,answer
campaign,care,91448,majority
who,protect,90558,it
where,fire,69744,answer
usually,table,56608,any
low,language,98064,institution
hotel,property,488,final
artist,difference,68373,recently
mean,best,1478,reflect
magazine,strategy,51429,white
service,here,2005,Congress
century,impact,18157,build
section,knowledge,39581,become
travel,power,40545,seat
yard,indeed,7500,physical
customer,writer,57310,yourself
including,thus,13210,decision
pass,service,95821,see
medical,wait,77860,late
society,spend,1294,suggest
win,nation,76467,lead
occur,school,42849,under
audience,them,51430,half
which,trade,58713,stage
son,exactly,23467,might
few,pretty,4830,whether
rock,whether,36846,movement
crime,discussion,54231,open
information,group,78916,improve
month,agent,25461,life
response,that,53337,soon
protect,to,12199,gas
anyone,weight,24228,item
during,sit,68735,put
today,product,78109,specific
cup,to,84140,along
low,remember,194,community
reach,probably,3316,seven
myself,tough,6022,heavy
peace,low,46530,science
machine,security,69532,what
discussion,themselves,84504,even
deal,popular,7639,fall
situation,different,91155,write
set,establish,89024,western
here,foot,95346,hospital
agency,discover,31319,parent
customer,method,7594,human
against,life,28492,them
deal,particular,20161,brother
conference,oil,9841,onto
yet,dinner,45227,meet
good,free,63159,adult
former,run,48505,market
project,field,59654,area
suggest,artist,28793,national
everybody,sister,51050,positive
direction,company,31041,design
itself,even,76867,gas
almost,budget,67898,attack
about,information,25469,a
degree,he,97584,into
red,red,63530,interesting
plant,player,98452,agency
miss,key,59368,foot
medical,son,9793,realize
social,other,20273,loss
assume,tell,45823,discussion
partner,radio,72536,join
major,thought,82171,around
of,on,62829,it
trade,bring,10353,collection
war,play,50737,relationship
put,mother,11631,laugh
threat,player,28030,hundred
become,eight,50055,sister
ability,from,55561,wide
it,history,99749,decide
personal,practice,42282,gun
down,focus,47149,including
turn,our,14780,fall
again,hope,93356,stage
network,hundred,47027,Republican
down,popular,94574,must
home,community,75045,join
parent,benefit,91211,matter
lose,whose,70702,oil
message,development,16940,star
free,every,65536,image
along,treat,50112,large
evening,ready,35850,know
admit,always,42389,woman
art,quickly,87939,son
talk,as,79894,instead
owner,key,26423,maybe
deep,voice,36980,world
garden,stand,54697,computer
economic,subject,80280,manage
item,personal,91533,face
meet,develop,10863,have
clearly,window,71738,build
enough,mention,81479,cup
step,hard,50360,development
but,kid,57307,beat
account,join,2719,moment
wind,argue,50317,plan
finally,consider,70508,eye
store,thing,89912,plant
add,reveal,13672,challenge
consider,personal,48656,actually
style,put,5666,impact
data,collection,34830,teacher
kid,consider,85659,rest
image,pay,23348,coach
bill,whose,22319,church
include,campaign,48999,voice
remain,far,86845,difference
public,outside,45063,traditional
mean,middle,77727,student
body,check,43308,officer
set,safe,14807,board
away,glass,39512,hotel
office,summer,49760,during
policy,hand,82734,some
raise,dream,49238,probably
wear,upon,51466,fly
condition,learn,92516,this
yet,grow,31778,really
raise,kitchen,51255,from
ball,different,5163,man
not,until,61842,field
believe,series,72196,begin
what,office,44857,majority
lay,property,69895,reality
international,girl,37394,somebody
kind,character,43358,western
east,range,17039,both
government,majority,87644,white
trade,continue,13046,project
here,college,65346,decide
suffer,himself,22046,reality
heavy,material,26707,present
single,radio,70488,space
shoulder,side,74894,know
clear,provide,71204,long
people,their,38989,hit
structure,for,9627,exist
film,what,41588,responsibility
quite,if,90633,partner
letter,own,40418,hour
draw,relate,71089,whether
particular,agent,21129,fire
determine,manager,83504,travel
certain,leg,26103,strong
region,sister,28744,military
these,real,10095,save
think,three,73544,song
could,end,70252,story
bag,reason,37490,study
pay,arm,81395,significant
environment,address,96455,finally
card,ability,21650,lead
country,author,66193,family
whose,part,26450,performance
especially,spend,69527,effort
inside,process,94235,pattern
somebody,serve,58812,ahead
pull,knowledge,51475,development
center,cultural,86572,audience
table,attention,8455,red
image,gas,76716,I
beyond,feeling,26195,want
already,election,1158,matter
line,teacher,99001,somebody
phone,force,45197,others
let,two,31447,direction
individual,blood,98233,again
site,police,59046,friend
popular,dream,76536,color
anyone,light,38499,note
toward,tonight,64029,thousand
national,in,84669,offer
case,play,24055,fine
yet,include,14206,if
condition,degree,33032,Mrs
including,shoulder,14838,actually
get,early,70204,ever
town,better,50352,senior
station,though,88122,finally
once,believe,83403,magazine
responsibility,walk,87040,international
notice,campaign,22230,thank
sing,PM,75222,different
probably,here,95429,control
resource,owner,71776,try
bar,space,45469,though
activity,movie,83844,represent
relate,purpose,43204,themselves
quite,whom,6228,staff
old,take,40153,add
room,still,15965,product
article,poor,52598,board
market,authority,95501,our
medical,note,23429,method
memory,seek,51553,call
possible,lose,3176,green
sure,whether,82824,weight
drop,that,15702,lay
she,move,33807,low
throughout,southern,25379,put
weight,month,58704,me
go,find,7335,with
toward,class,78977,life
cost,go,70883,character
wait,surface,61302,property
treatment,two,66648,difference
firm,dark,16620,consumer
Mrs,factor,20311,speak
ability,sister,43089,per
according,work,23207,doctor
magazine,with,64865,provide
safe,say,11814,woman
to,exist,44199,board
tax,because,59229,might
lot,voice,90071,case
keep,without,80702,turn
population,society,5168,upon
better,tough,87574,improve
important,from,99902,enter
size,arrive,90356,production
protect,movie,5318,north
than,address,15856,again
important,color,66839,cost
theory,condition,61415,model
dog,last,95825,major
dream,century,6724,personal
simple,pass,2909,break
officer,report,87137,six
box,I,4101,movement
area,still,26009,it
our,structure,12376,whose
line,machine,50447,marriage
free,many,90138,hour
professor,other,13998,huge
idea,per,30211,determine
policy,building,47127,around
loss,act,15716,under
environment,seat,36250,finally
must,dream,22824,deep
can,day,73359,scientist
loss,language,18259,doctor
itself,eight,11585,position
church,which,77914,wrong
letter,admit,60900,while
degree,agree,38195,population
stay,break,28419,always
three,him,36119,sell
top,top,24651,degree
trip,sport,41656,design
power,chair,87041,list
especially,from,53262,page
finally,energy,30598,direction
above,save,16526,value
government,care,90612,spring
rock,manager,68602,down
agent,assume,53433,hold
per,once,29044,computer
without,mother,48539,oil
early,born,70120,how
woman,lot,51030,audience
reflect,state,31236,dream
off,reason,73640,stock
drug,institution,74185,course
teach,some,29890,amount
seek,she,83496,low
different,floor,86541,adult
president,protect,5206,pick
