debtor_id,payment_id
D001,P001
D002,P002
D003,P003
center,morning
parent,will
issue,themselves
significant,fund
across,father
small,white
road,with
debate,name
yard,without
suddenly,PM
age,mention
behavior,throw
condition,but
than,play
section,tell
another,gun
physical,administration
difference,allow
policy,me
degree,best
people,year
entire,their
operation,stay
thought,project
scientist,fish
tend,attention
time,ago
somebody,rise
ago,late
true,management
wide,soon
season,leg
prevent,evidence
benefit,country
network,wife
return,per
western,truth
also,rather
people,stand
energy,traditional
provide,them
plant,boy
modern,recognize
walk,actually
finish,role
card,discuss
lot,choice
evidence,finish
member,budget
early,ever
enough,human
instead,teach
old,would
cold,local
rate,reason
he,million
one,society
lay,car
trip,popular
trip,future
question,experience
meeting,appear
continue,yet
dinner,hard
study,onto
consider,argue
without,size
general,front
smile,decade
word,two
interesting,recently
building,kid
prepare,long
stuff,Republican
environment,wonder
reach,everybody
front,more
can,cell
same,factor
left,south
culture,save
suggest,station
necessary,property
person,middle
speak,not
mother,yet
loss,site
follow,office
house,reason
necessary,week
we,treat
law,group
house,as
believe,pressure
decade,action
bring,sense
instead,do
them,son
near,question
make,read
offer,I
avoid,road
herself,maintain
ten,group
laugh,money
newspaper,as
season,station
note,without
without,project
give,site
consumer,similar
her,participant
think,painting
site,by
rule,black
chance,movement
return,study
southern,soldier
will,instead
station,walk
generation,accept
dog,magazine
management,worry
those,which
quite,design
four,culture
half,direction
standard,crime
lawyer,sound
hit,east
far,provide
walk,month
cover,time
record,conference
wear,Mrs
health,speech
attention,last
far,become
offer,across
evidence,along
wife,over
standard,where
month,poor
check,sister
low,my
well,eye
from,receive
public,which
source,those
help,another
network,it
give,official
appear,purpose
water,goal
shake,president
per,itself
according,language
person,group
star,view
least,raise
make,war
large,some
Mrs,those
part,back
individual,consider
wait,trial
someone,network
generation,another
lose,near
board,weight
discover,again
hair,see
year,subject
friend,finish
wait,candidate
author,official
foot,ball
environmental,because
its,military
surface,marriage
center,like
military,scene
long,song
dark,who
crime,project
election,possible
practice,your
analysis,report
response,media
production,summer
health,without
back,cover
result,ok
meeting,happen
laugh,herself
sort,before
issue,camera
study,off
notice,kitchen
think,able
I,article
of,rise
perform,seek
year,consider
range,security
base,occur
growth,point
baby,policy
always,company
new,knowledge
computer,degree
institution,game
star,word
collection,among
difference,lose
country,family
share,design
bed,adult
plant,toward
decide,listen
nice,campaign
any,nor
candidate,able
pass,adult
help,measure
right,add
nor,sound
situation,pass
how,themselves
sign,sell
bit,feel
child,others
hospital,hospital
however,shoulder
their,society
make,herself
fact,shoulder
leader,again
eight,travel
out,no
magazine,attention
door,enter
morning,half
behavior,attention
sign,box
model,then
build,family
off,almost
late,black
improve,smile
police,yeah
reflect,cut
deep,recently
drive,author
direction,I
what,build
together,for
president,rest
nor,rather
field,this
few,reduce
customer,drop
year,happen
simply,read
event,window
drug,air
alone,behind
family,new
practice,agency
summer,call
toward,white
job,walk
no,dream
language,feel
would,station
American,as
future,product
order,performance
knowledge,on
notice,police
seat,nothing
system,final
decade,strategy
pattern,popular
claim,under
agreement,girl
music,middle
government,father
option,exactly
former,improve
capital,hair
behind,behavior
director,themselves
thus,talk
true,land
where,direction
life,necessary
middle,site
throughout,management
employee,memory
national,science
what,condition
character,town
old,loss
shake,mind
top,natural
TV,car
face,full
type,draw
water,participant
impact,call
responsibility,staff
within,card
third,entire
by,economic
pull,foreign
strategy,best
subject,type
organization,position
worry,care
population,technology
red,red
wife,in
ready,however
region,wind
keep,treatment
special,big
single,far
hot,matter
weight,always
represent,few
themselves,choose
not,table
you,research
measure,positive
us,agent
avoid,out
Congress,relationship
chance,challenge
drop,phone
member,common
information,then
under,tough
student,receive
rock,resource
too,someone
fact,budget
among,music
future,continue
budget,mind
loss,arrive
affect,fine
picture,their
go,card
avoid,after
shake,down
once,many
garden,page
born,west
bag,during
he,sea
summer,must
growth,coach
same,without
middle,country
order,police
fast,different
indicate,anything
sort,smile
simply,they
woman,cost
individual,tonight
prove,student
seem,ball
something,foreign
light,same
central,sure
parent,some
identify,morning
director,them
material,population
five,present
right,nothing
exactly,effort
operation,tonight
and,lot
head,less
prepare,carry
report,detail
reflect,about
language,service
subject,major
mean,activity
give,ten
next,identify
arm,best
might,talk
idea,bed
seat,oil
organization,station
table,vote
street,wind
property,create
rock,suggest
exactly,coach
here,nor
character,force
focus,certain
skin,employee
day,we
space,commercial
another,give
actually,catch
expect,tree
degree,space
out,age
Mrs,girl
fill,every
visit,major
rich,ready
capital,two
benefit,foot
cover,training
enjoy,last
smile,walk
reduce,begin
main,book
election,never
herself,role
claim,respond
night,left
minute,expect
art,including
account,design
beautiful,serious
look,picture
operation,difficult
star,reach
wife,kid
imagine,building
investment,world
throw,many
go,near
standard,approach
possible,goal
walk,class
politics,owner
each,system
past,individual
policy,safe
develop,nature
person,network
risk,director
loss,world
culture,news
environmental,stage
your,must
me,whatever
strategy,attorney
great,sing
safe,able
deep,if
carry,know
brother,avoid
audience,small
decision,make
future,focus
stage,up
believe,edge
letter,eye
of,back
community,section
Republican,red
impact,chance
fire,person
fall,throughout
guy,he
over,what
respond,building
the,book
drug,camera
manager,exactly
point,court
spend,show
appear,defense
most,material
memory,young
name,activity
three,too
natural,push
answer,exactly
specific,among
manage,same
entire,grow
language,black
fish,plant
every,clear
stop,news
event,a
old,watch
whom,parent
fund,television
yard,according
sign,product
yes,claim
final,region
view,guess
explain,but
would,may
cover,final
understand,avoid
enter,opportunity
large,respond
yet,future
meet,push
next,occur
because,worry
enter,improve
form,also
central,news
benefit,add
six,ok
artist,hot
it,performance
institution,prove
because,society
skill,control
sound,health
later,statement
nearly,available
majority,improve
Mr,according
under,offer
third,commercial
produce,candidate
meeting,often
camera,read
response,benefit
central,watch
environment,newspaper
military,natural
prove,very
if,hard
figure,fire
such,like
also,business
age,my
once,while
feeling,mind
degree,concern
help,institution
inside,information
never,condition
human,end
very,bank
dinner,which
nor,support
positive,tend
story,current
law,suggest
beyond,deep
be,building
not,best
open,talk
behind,case
political,despite
interesting,there
its,next
world,assume
above,direction
movie,out
natural,list
across,language
project,foot
happen,among
something,explain
customer,indeed
reduce,wife
position,peace
audience,can
main,candidate
lose,open
short,training
team,six
board,yeah
ability,care
deal,tell
detail,choice
debate,court
certain,first
west,expect
maybe,alone
teach,born
course,take
quality,alone
discussion,improve
notice,family
everybody,my
model,network
key,easy
material,near
at,claim
politics,form
agreement,about
stage,light
write,some
character,various
size,himself
report,north
hold,thousand
technology,attack
western,task
fall,camera
more,appear
fine,structure
stock,trouble
live,dark
few,stock
show,face
might,trial
occur,above
scene,result
black,participant
town,fly
reflect,knowledge
involve,look
something,positive
lose,he
poor,coach
American,surface
despite,option
yeah,care
whatever,first
system,ago
man,rock
simple,action
close,official
government,front
rule,few
issue,amount
interest,field
price,since
allow,me
Mr,traditional
market,body
we,music
people,go
character,guy
job,hot
claim,contain
author,base
common,major
study,door
lead,customer
quality,own
person,family
sister,none
story,live
item,nor
establish,radio
apply,of
player,music
bill,result
stay,hold
several,cut
special,shoulder
bit,become
improve,situation
buy,camera
early,development
address,international
let,method
deal,throughout
administration,purpose
face,eye
see,agency
light,laugh
wait,staff
whom,feeling
join,can
authority,challenge
religious,today
however,structure
senior,PM
these,PM
detail,vote
business,cut
along,evening
theory,should
cultural,guess
themselves,perform
big,buy
safe,oil
word,result
nation,teach
building,job
hand,believe
financial,sport
simply,challenge
audience,character
party,cause
leg,arrive
question,customer
various,guy
myself,maybe
majority,sea
interesting,floor
result,staff
herself,bit
middle,arm
store,test
event,between
program,amount
reach,individual
summer,computer
up,PM
contain,live
campaign,fund
somebody,star
huge,store
create,hour
national,career
should,option
theory,training
find,expect
night,down
indeed,community
check,agent
way,direction
while,section
design,box
heart,dinner
society,table
toward,word
glass,require
PM,above
similar,thing
play,think
partner,fight
continue,yourself
action,make
seat,night
add,difference
cup,town
successful,card
alone,middle
on,add
likely,where
news,necessary
none,challenge
film,turn
tend,heavy
alone,bank
rock,evidence
station,make
care,capital
positive,bag
of,meeting
image,spring
data,brother
cup,too
first,understand
above,today
turn,well
blood,prevent
up,base
box,trial
move,magazine
agreement,now
ability,majority
especially,from
hope,often
investment,see
firm,choice
realize,dark
blue,agree
behavior,along
traditional,trial
spend,risk
technology,around
under,skill
director,time
wonder,arrive
day,bill
score,former
bag,view
career,off
assume,through
establish,tell
agent,approach
relationship,success
leg,difficult
customer,finish
try,join
head,hard
clear,friend
back,certainly
system,home
brother,federal
again,speak
some,community
discussion,yourself
positive,pattern
investment,early
interview,task
staff,only
sport,treat
heavy,your
size,such
political,something
building,direction
person,card
keep,peace
their,and
affect,sign
appear,scene
paper,floor
ok,baby
develop,throughout
short,news
group,but
risk,couple
pressure,enter
century,nice
work,music
animal,above
soon,dream
over,other
appear,suddenly
citizen,program
bed,line
effort,yourself
this,pay
her,better
board,law
outside,anything
reflect,line
thus,college
win,physical
wrong,up
appear,account
modern,wonder
lot,real
election,realize
financial,Mr
than,seven
best,financial
this,staff
wide,face
very,age
collection,seat
yard,language
full,prepare
daughter,administration
deal,situation
eat,result
person,physical
drive,white
hotel,happen
tell,care
human,ask
family,nearly
enjoy,hit
second,important
our,season
to,before
Congress,have
interview,long
until,prepare
medical,something
ball,reflect
oil,concern
radio,fire
probably,radio
blood,make
social,community
friend,thousand
great,school
north,begin
stay,throw
mind,know
low,consider
shoulder,sense
establish,owner
hour,which
sort,speech
majority,as
suggest,interesting
result,time
knowledge,look
within,especially
keep,late
window,news
win,teach
maintain,if
discover,themselves
company,industry
evidence,pull
energy,sea
thought,effect
federal,too
television,information
nearly,American
matter,international
above,cup
point,worker
hospital,news
officer,manage
girl,create
capital,cup
scene,consider
yet,collection
now,up
way,history
senior,marriage
news,hotel
product,voice
write,light
first,bad
opportunity,family
interview,report
friend,single
must,main
yet,position
only,wife
million,very
or,three
song,move
writer,hit
at,detail
federal,account
feeling,later
life,accept
top,yet
claim,majority
prevent,number
avoid,player
office,street
challenge,dark
reveal,responsibility
southern,final
sometimes,which
tell,state
the,practice
special,head
friend,campaign
student,quite
sister,artist
whole,couple
herself,interesting
thus,character
place,manage
similar,particularly
parent,then
decision,cause
protect,animal
land,make
choice,level
career,pay
box,high
environment,style
yeah,author
task,none
glass,along
over,factor
meet,bad
cultural,trip
charge,environment
serve,need
care,present
stop,pay
sometimes,serve
someone,century
all,discuss
money,medical
exist,include
fall,network
card,quality
condition,action
your,such
perhaps,wish
two,rest
determine,field
score,want
one,sell
truth,much
kid,sure
mean,chance
little,piece
and,be
next,wife
energy,sea
expect,skin
a,relationship
left,close
already,seek
myself,administration
image,year
increase,create
environment,organization
