payment_id,date,amount,method,status
P001,2024-09-01,1000,credit_card,completed
P002,2024-09-10,500,bank_transfer,pending
P003,2024-09-20,2000,credit_card,completed
rate,start,15741,health,attack
message,me,10800,because,life
public,through,26905,perhaps,body
police,money,33937,from,describe
usually,available,21589,stay,fine
nature,prepare,14281,exist,machine
myself,team,17297,game,power
question,outside,55510,top,big
bring,build,72255,compare,order
through,serve,65736,skill,bill
reach,environmental,51811,include,beat
piece,receive,76538,tonight,yeah
top,reflect,21605,price,line
important,Democrat,51071,your,star
along,far,74368,run,rest
cut,choose,83918,idea,area
bit,add,13792,purpose,available
real,hotel,62745,degree,cup
space,know,24325,effort,interview
ready,morning,56540,choose,those
bank,develop,32769,continue,civil
since,city,18588,option,whether
particular,land,57774,whom,theory
for,indicate,94110,student,feeling
boy,room,9157,treat,add
budget,my,76241,sense,wonder
tonight,green,74965,part,consider
get,by,781,federal,dark
traditional,plant,61970,allow,military
reveal,shoulder,36129,deep,president
explain,crime,53204,position,finish
arrive,after,85012,message,the
company,yes,3983,assume,trouble
song,note,90725,section,around
painting,send,96887,his,rather
east,cause,6496,catch,herself
industry,development,64393,candidate,kid
night,reach,4294,even,prove
crime,identify,95327,door,million
bank,head,63560,foot,summer
experience,cultural,74349,never,return
gas,serious,65840,time,main
theory,general,52216,enough,support
daughter,have,31291,dream,available
positive,recently,83512,understand,again
anything,grow,35675,that,war
outside,scene,2303,involve,gas
it,check,33358,place,national
special,other,45209,commercial,society
fly,bag,44013,coach,impact
move,professor,49389,send,military
power,fact,12012,within,treatment
community,wind,69703,white,foreign
determine,effort,20217,lay,successful
institution,last,59164,remain,fight
certainly,speech,879,nature,past
address,drop,99632,first,beat
PM,you,89705,institution,democratic
research,end,10100,economic,look
candidate,finish,72490,eight,much
wonder,energy,44820,thousand,myself
yes,eight,70883,employee,list
effort,prove,42644,how,life
keep,tend,85134,life,factor
team,year,4062,population,clear
church,go,51406,find,boy
son,suffer,58091,air,trouble
issue,consider,85238,compare,difficult
interview,we,35004,participant,man
add,resource,76871,against,shake
mouth,family,74504,forward,without
fight,make,41570,win,special
expert,woman,29295,training,coach
data,condition,62703,contain,buy
win,push,71570,now,wear
include,serve,22008,break,mouth
local,foot,28612,quite,add
morning,catch,99096,article,behavior
culture,stage,48736,should,prove
including,second,79342,key,upon
door,stage,10221,place,production
lot,store,61678,leave,choose
baby,seven,55040,answer,strategy
future,really,17196,themselves,education
send,image,95173,so,miss
trouble,teacher,1614,hair,camera
federal,professional,9682,few,TV
fund,since,81368,during,choice
space,power,81812,explain,thank
my,effect,1039,serious,letter
reality,stuff,28170,senior,concern
he,difficult,29993,executive,raise
none,much,80258,conference,economy
account,anything,357,room,development
from,west,50869,public,toward
major,again,25456,so,administration
himself,free,1059,international,report
military,month,53460,image,those
table,agreement,72428,feel,cold
citizen,land,53454,whose,health
become,resource,96500,discover,president
quality,conference,51806,interest,sometimes
soldier,four,4315,able,now
guy,truth,60149,our,blue
their,movement,14850,until,catch
until,fight,34690,executive,force
task,recent,85881,speech,determine
pass,which,45186,today,probably
increase,try,77976,network,return
nearly,practice,10827,while,might
decide,threat,20311,training,every
story,election,72854,fact,watch
man,worry,92235,doctor,power
political,push,19266,choice,majority
concern,be,46781,Democrat,rise
apply,pull,63333,manager,artist
chair,matter,48258,hotel,social
mother,message,41009,send,go
dinner,always,68716,democratic,boy
western,wide,29376,nor,third
any,again,75806,type,through
require,notice,62865,fall,these
people,meet,59746,economic,woman
provide,doctor,85899,size,agency
know,kind,22091,former,truth
according,send,75936,level,nearly
player,way,33989,mind,continue
next,indicate,30027,choice,beyond
machine,especially,16439,free,control
fire,quality,32081,follow,management
natural,own,93214,down,ready
last,choice,70008,thank,before
into,too,25594,why,measure
beat,thousand,78680,might,blood
inside,everyone,38113,five,pass
bed,share,56985,list,morning
soldier,peace,18454,everything,far
early,skin,33156,home,teacher
quickly,paper,91937,including,option
everybody,institution,84224,dinner,economy
ability,public,34377,six,television
attention,politics,94122,environment,picture
rule,public,89054,behind,difference
those,fine,25499,generation,front
analysis,impact,80574,along,watch
hit,agency,67507,every,appear
significant,because,84842,receive,major
can,another,4546,financial,property
machine,pay,55302,though,where
must,company,23841,my,through
still,physical,88100,it,beyond
apply,center,10312,country,according
girl,mention,68507,soldier,away
change,yard,14571,according,pattern
like,write,67783,week,across
political,citizen,12488,any,class
blood,offer,32752,possible,his
Congress,argue,57756,huge,peace
too,no,36945,story,leader
wind,have,1160,wall,win
they,generation,35550,yard,region
as,hard,98110,memory,weight
maintain,peace,37935,edge,until
enter,garden,36941,court,whatever
newspaper,speak,98367,activity,ago
she,beautiful,65798,whether,office
hot,front,96078,in,half
head,receive,79088,seven,whether
itself,contain,77574,child,building
six,social,70752,able,pass
participant,bill,77509,detail,edge
support,hold,52639,information,relationship
five,course,85306,between,direction
so,pressure,31172,entire,husband
sit,style,82752,finish,page
race,attention,6119,how,everybody
doctor,activity,93678,south,stand
certainly,little,80282,tree,leader
exist,two,69161,class,plan
against,door,78783,opportunity,series
think,level,30610,likely,adult
group,decision,72810,his,bring
into,activity,54888,southern,that
Republican,late,53227,consumer,sit
part,step,20441,people,in
ago,play,73692,foot,real
within,instead,70080,between,one
wonder,account,82653,together,leave
attorney,weight,3492,choice,both
lead,specific,72798,maintain,either
clear,free,99437,knowledge,cause
wind,establish,57634,direction,strong
man,recognize,29222,politics,director
type,tax,68975,main,listen
specific,turn,45101,friend,police
market,next,29716,value,glass
technology,successful,47340,off,student
research,lay,11578,present,even
onto,final,33371,loss,similar
there,on,3167,protect,speak
option,adult,22846,thus,read
property,at,97265,another,loss
least,road,71537,establish,ability
put,from,17719,meet,generation
catch,marriage,40204,very,something
treatment,test,41624,election,music
fall,floor,27858,two,sometimes
themselves,reason,54877,help,herself
serve,nor,40784,guy,important
yes,too,84302,argue,thousand
allow,claim,82498,professor,decade
feel,opportunity,97035,live,hair
our,season,19786,actually,prevent
movie,much,90361,policy,although
seek,and,79462,risk,collection
and,understand,92220,discuss,most
hospital,sense,71985,prepare,after
much,thought,2402,little,arrive
edge,sort,22391,future,song
pay,own,69805,bit,Congress
important,clear,77110,change,continue
one,under,24830,act,author
carry,include,81524,long,music
throw,really,84375,chair,second
win,make,39508,kid,yeah
modern,thank,71603,conference,purpose
increase,radio,83132,social,glass
bag,phone,44819,find,camera
kind,amount,6387,bar,occur
risk,able,46303,school,middle
age,possible,85954,option,field
election,clearly,85116,friend,position
field,top,18380,thought,third
your,discuss,83650,opportunity,draw
everyone,hard,75922,take,give
action,mention,5818,human,future
certainly,design,16409,office,yeah
camera,teach,3347,somebody,brother
city,soldier,15924,space,all
easy,interview,18444,measure,city
idea,hotel,20452,cup,worker
nor,degree,90583,way,such
government,four,34837,however,huge
positive,defense,65468,fall,party
serious,animal,83694,check,foot
water,on,95608,positive,star
heart,focus,35921,democratic,center
hand,Republican,31965,improve,growth
public,court,22533,arrive,else
adult,card,86973,eye,despite
group,behavior,53438,together,blue
parent,message,42097,fly,fall
feeling,pick,9318,risk,difference
century,into,62603,population,clearly
high,try,52733,state,personal
conference,defense,20749,course,attention
form,add,60236,forget,decision
research,environmental,56913,rule,bed
research,left,6967,be,if
me,notice,42707,find,tonight
back,prove,57394,they,big
stock,feel,43840,national,change
charge,none,83831,war,on
through,call,5556,stock,happy
on,dog,78137,art,us
street,person,23122,realize,music
nature,reason,49988,example,town
toward,little,94720,class,religious
challenge,your,35258,laugh,wall
case,attention,89271,media,draw
central,go,44688,trouble,fund
report,around,93426,student,nice
a,thought,48481,task,small
use,military,733,bar,opportunity
attorney,teacher,11202,space,these
there,board,46842,meeting,generation
everything,such,41632,tough,recently
bill,build,53709,against,beat
challenge,finally,73769,read,voice
thus,away,14415,Congress,be
resource,morning,57033,fill,try
garden,discuss,4700,even,friend
not,focus,25461,these,send
Mr,charge,90507,make,night
let,performance,56391,sit,they
above,century,47086,among,religious
discover,boy,41431,history,study
possible,age,89218,kid,answer
really,now,95421,today,property
wear,alone,47003,picture,write
coach,dog,6714,fine,number
suffer,voice,18985,style,between
suddenly,trade,25195,expert,here
edge,customer,84766,big,water
include,coach,81107,box,well
source,soon,97130,physical,door
like,give,52409,defense,international
common,us,33019,character,professor
should,one,90634,natural,fire
wife,make,90356,your,identify
still,threat,12874,finally,that
least,something,66165,bill,many
nature,same,11118,brother,trade
rather,say,9431,pick,model
industry,rock,86693,thought,become
hospital,figure,8354,shoulder,range
president,seat,6147,real,face
five,perform,42018,reason,because
his,west,19998,doctor,third
board,adult,53131,religious,know
conference,side,44469,surface,democratic
myself,certainly,49425,conference,both
unit,his,63023,improve,let
group,front,67843,must,because
center,half,36182,make,hour
manage,let,44632,management,doctor
live,study,78668,son,good
final,game,24719,away,else
story,before,57080,although,attorney
over,hospital,5006,husband,throw
wear,fear,2848,company,condition
often,end,52584,ask,true
TV,care,50857,yes,add
early,class,41584,red,book
bar,include,1319,factor,job
pick,leave,19319,fund,factor
cold,walk,65775,state,form
interesting,daughter,30913,ball,husband
box,serious,24943,customer,interview
how,seem,83986,model,design
and,else,10178,thousand,field
rock,figure,96070,address,director
painting,magazine,67885,simple,early
we,billion,12815,join,bank
south,international,32115,case,matter
game,how,58643,one,recent
effect,feeling,71752,skin,section
two,outside,46941,hear,sea
money,event,8220,arrive,realize
stand,leg,33105,become,Democrat
write,just,61168,small,network
partner,risk,30848,morning,establish
respond,wrong,85430,drug,focus
national,visit,10386,go,performance
to,through,30388,use,put
author,personal,65247,about,standard
money,phone,1672,child,collection
organization,series,30723,beat,store
manager,yourself,71314,kitchen,research
class,score,83614,soon,wonder
challenge,several,60016,difference,involve
though,per,76348,method,those
shoulder,ago,36859,expert,more
seven,hundred,10268,social,poor
respond,base,38003,any,or
across,explain,13087,interest,unit
past,customer,60215,relate,us
what,night,69385,understand,even
form,according,48763,pressure,something
Democrat,ball,92246,statement,perform
able,tend,77672,must,yet
me,crime,76099,choose,about
relationship,writer,38698,every,dark
heavy,poor,40510,democratic,ability
action,social,95062,leg,view
little,simply,53682,measure,kitchen
put,me,50152,trial,rock
short,heart,51759,lose,financial
model,national,21145,down,choose
scene,if,29151,place,region
parent,southern,28494,I,decade
worker,star,91150,now,best
morning,attack,89528,begin,next
light,light,80963,their,above
live,west,89893,role,look
parent,off,96318,summer,total
local,skin,22115,rather,real
seem,low,71208,throughout,class
to,staff,65225,avoid,during
trade,memory,98956,son,leave
stuff,laugh,50942,beat,certain
exist,television,67369,space,watch
close,authority,92094,garden,century
teach,trip,60295,watch,choose
rather,culture,99942,outside,run
much,suddenly,27332,after,very
coach,ball,75097,share,man
doctor,energy,4884,compare,sometimes
accept,stock,53300,policy,case
production,compare,45536,white,response
that,bag,84737,admit,above
final,let,86472,easy,friend
pretty,ground,4829,certain,meeting
knowledge,maintain,44136,sort,reduce
analysis,TV,52074,yeah,development
clearly,chance,40252,interview,box
along,which,22039,marriage,huge
of,send,75762,news,especially
war,operation,88016,commercial,town
perhaps,or,32340,employee,night
knowledge,social,53958,option,majority
role,song,38044,training,just
stop,benefit,2541,chair,grow
only,hundred,95986,right,yes
wide,number,51397,talk,since
end,research,4815,however,sea
impact,cold,39911,decide,fight
him,either,21111,hard,front
with,just,65728,look,claim
agent,under,7582,heavy,Mrs
almost,shoulder,43944,upon,sister
training,report,11222,else,check
agree,leave,23950,young,production
whole,fast,29379,unit,for
collection,enough,32173,girl,beyond
behavior,seven,51211,bar,yeah
particularly,ten,46176,half,produce
clearly,environmental,82924,food,poor
compare,set,54221,quite,role
trip,off,3775,pretty,wall
small,course,49640,meeting,become
past,over,43329,contain,drug
central,left,3797,person,own
watch,help,69158,site,late
and,commercial,69783,able,shake
us,dinner,85131,just,light
card,decide,11913,avoid,debate
first,try,20369,across,media
while,team,64695,factor,building
opportunity,size,40450,study,edge
charge,whose,68534,right,budget
answer,success,18322,major,education
party,fall,34205,animal,social
story,physical,82766,research,away
so,financial,87267,subject,school
itself,parent,99762,player,available
tough,safe,87222,range,wall
money,drive,7844,short,billion
hospital,money,70484,school,remember
enter,network,16886,choice,themselves
huge,central,83197,small,friend
history,resource,74366,candidate,city
this,difference,84777,participant,price
order,management,26651,positive,behind
teacher,discover,58392,field,since
effect,officer,58230,especially,statement
the,remain,65994,away,quickly
last,opportunity,33450,soon,community
your,threat,7736,job,listen
surface,education,21055,themselves,year
deal,wrong,56625,system,beat
others,fact,8580,base,drug
evening,go,91290,security,rise
require,back,99748,last,both
team,whether,92001,as,all
ready,instead,32227,billion,along
concern,suffer,80661,wear,military
choice,hospital,94281,drug,interview
movement,fall,92130,collection,might
gun,physical,74814,president,simple
itself,paper,12361,while,win
statement,even,46895,enough,attention
natural,hospital,20370,central,order
five,account,74878,baby,read
visit,class,1412,seat,news
senior,form,56536,outside,model
kid,enter,63647,politics,society
network,scene,32991,man,help
author,tonight,9283,step,send
down,instead,94082,animal,always
play,toward,20810,game,respond
develop,draw,19506,short,huge
minute,every,89459,cultural,simple
group,enter,79721,method,source
second,base,89989,everything,land
claim,relationship,40218,threat,long
seven,no,15902,song,kid
quite,offer,86146,four,parent
lay,mouth,47915,however,where
kind,record,41369,writer,kid
plan,beat,54489,lose,kind
right,nor,6969,office,church
certain,size,67939,spring,contain
identify,consumer,82813,charge,I
a,fine,50462,ahead,cell
war,must,2960,when,north
reality,pattern,31590,through,face
down,agency,61527,image,factor
result,price,37780,major,relationship
help,act,39725,even,professor
discuss,whether,38139,shoulder,green
hour,tend,59393,heart,time
why,thus,93068,agreement,piece
investment,source,51846,score,clearly
among,weight,43058,young,capital
management,study,79178,guess,season
the,article,39814,knowledge,attorney
own,article,67147,month,raise
occur,board,51331,per,usually
crime,this,81556,management,level
even,move,32358,people,statement
rate,coach,85367,source,new
though,wrong,47,begin,else
piece,economy,37966,if,happy
decision,firm,60594,watch,huge
option,within,26044,find,my
program,increase,32730,couple,care
region,avoid,45296,area,newspaper
forget,over,31800,attorney,color
nearly,include,27691,save,smile
whose,church,65001,add,product
will,commercial,46534,small,model
threat,book,17146,every,image
soldier,realize,13795,nice,deep
less,nor,7836,state,trial
factor,key,7460,avoid,down
western,catch,76616,successful,small
discover,television,62104,real,nor
majority,probably,29647,eight,deep
dream,southern,90414,line,crime
if,option,89896,third,a
act,seat,62823,evidence,beat
carry,great,96903,structure,glass
low,impact,5255,bring,movie
word,its,69850,best,accept
action,you,42247,around,agreement
early,lay,19709,everything,style
including,expect,72533,man,hard
radio,what,4645,attack,third
choice,care,63374,beat,star
and,those,46937,increase,decide
international,them,86735,expert,improve
we,ground,22244,all,tell
couple,strong,53168,language,full
practice,brother,44585,common,various
wind,carry,16084,together,every
us,bit,85256,four,field
between,rate,40865,lawyer,space
deal,public,68502,language,away
fall,significant,32643,despite,pull
method,laugh,90306,trouble,professional
radio,cultural,79533,attack,catch
gun,international,98128,news,smile
summer,peace,39307,bank,Republican
wall,city,86787,military,wear
hear,cup,74640,whole,deal
find,commercial,40607,eight,near
not,worker,75670,country,product
someone,audience,88529,structure,force
address,small,69718,score,south
month,activity,28397,hospital,among
worry,action,1176,hear,news
understand,ready,21130,beautiful,trip
single,receive,2509,reduce,rate
rather,mean,89411,none,we
deep,hard,24292,high,fire
forward,consider,16443,series,table
work,probably,3538,be,cold
phone,church,22188,gas,lay
become,plan,20830,power,nature
the,realize,56049,support,ok
defense,action,77986,pressure,hundred
remain,artist,53755,order,pass
baby,decision,68609,newspaper,can
pick,wait,6679,black,leave
model,require,42115,however,war
each,his,50107,risk,too
computer,new,18462,avoid,compare
expect,fast,75818,movement,best
series,artist,82648,offer,only
pull,house,63761,west,true
must,part,97554,on,thousand
media,concern,24746,husband,small
there,unit,73157,success,board
friend,story,24199,suffer,peace
decade,war,2908,force,president
less,evidence,4773,administration,since
return,summer,62457,affect,loss
quality,many,14373,building,growth
attorney,pattern,94607,draw,that
figure,central,48897,my,state
oil,kind,65166,sometimes,measure
keep,might,99091,first,whose
democratic,young,10943,ground,type
receive,sing,72354,because,because
skill,next,68236,prepare,piece
minute,charge,45570,lose,model
talk,those,85794,in,expert
source,catch,18898,marriage,half
up,realize,18475,exactly,send
his,people,74058,model,outside
than,treat,61100,purpose,up
director,shoulder,59094,view,child
soon,buy,94667,red,voice
north,exist,76480,room,claim
record,recent,52384,truth,political
positive,peace,70065,for,artist
hotel,weight,69904,dinner,write
all,notice,94844,concern,third
week,nearly,53401,person,ready
under,my,37164,behavior,your
some,deal,16136,generation,leader
carry,popular,29746,determine,each
beyond,tend,77753,hard,partner
child,light,48132,campaign,true
population,meet,99060,avoid,expect
before,fly,11708,happy,city
theory,stock,30542,example,section
street,individual,95656,treat,market
hard,unit,42580,form,learn
necessary,before,54902,set,management
mind,cell,69126,treatment,consider
two,item,566,compare,pattern
next,stage,78129,among,my
camera,use,94604,lead,single
hotel,economic,90389,produce,example
first,computer,21443,foreign,door
probably,data,41485,we,mention
within,fall,474,current,new
water,listen,47007,sea,herself
true,before,67562,hold,ball
contain,attack,73475,develop,usually
close,total,46788,fear,system
agency,yes,42695,wind,list
continue,bed,72294,career,least
prepare,imagine,25420,kid,paper
style,same,22144,board,citizen
agreement,because,325,cost,couple
life,none,8018,career,adult
open,young,28952,again,receive
return,take,12379,of,let
find,character,69662,finally,good
democratic,soon,94030,main,I
mention,worry,99684,tough,hour
something,particularly,87288,director,garden
better,about,29035,industry,trip
green,professional,46274,authority,quality
list,about,24658,have,owner
if,deep,90468,tree,morning
or,quite,71269,stay,ever
agree,happy,52611,stage,drug
her,like,46139,yourself,choose
activity,we,29273,sound,apply
several,gun,30210,consumer,popular
help,describe,36645,important,child
pattern,commercial,22914,ever,loss
base,woman,74932,finally,still
might,money,53612,head,yet
believe,why,26907,could,official
get,pay,79002,speech,smile
mean,hospital,31622,notice,debate
get,apply,29940,party,material
reach,left,698,exist,commercial
weight,full,90109,number,care
inside,describe,38760,than,study
college,executive,16761,shake,home
affect,second,70131,sit,cost
large,toward,71066,more,policy
spring,purpose,31750,before,education
officer,gun,73502,travel,whom
however,community,33444,central,administration
attention,short,23919,often,change
government,assume,29560,than,bank
exist,difficult,18409,near,score
yes,card,37179,knowledge,two
possible,money,9141,through,several
past,she,11431,truth,military
drop,rate,57811,mouth,official
appear,today,78794,generation,answer
about,decision,93723,political,week
off,campaign,43613,cause,line
try,deep,10314,benefit,receive
behind,choose,64121,I,way
quickly,strategy,62451,be,human
standard,voice,71475,let,such
high,race,44435,industry,store
knowledge,too,94078,teach,machine
protect,draw,85258,party,little
red,song,7055,site,you
executive,difficult,20920,risk,consider
cold,official,80019,up,partner
national,ever,66211,director,ask
section,sit,29319,issue,country
opportunity,occur,47560,forget,style
animal,his,26119,push,different
debate,perhaps,95613,candidate,chance
source,happen,96873,rock,many
event,start,96838,like,middle
range,road,11005,home,thought
present,knowledge,6690,explain,leave
to,tough,64320,as,authority
training,less,54845,least,approach
international,according,10938,three,newspaper
list,measure,94926,line,culture
my,each,22985,change,have
test,four,64711,situation,history
before,single,2666,cultural,others
top,without,11315,local,crime
single,law,43967,close,during
former,decision,69944,hospital,truth
available,none,31751,you,color
step,anyone,24944,forward,health
big,shake,92823,dark,fear
for,activity,34690,lead,job
network,if,679,half,decide
live,condition,48679,better,high
either,indicate,73221,still,indicate
take,talk,28694,out,hope
rise,price,28545,from,especially
increase,choice,39525,various,other
attention,might,34910,continue,already
from,shoulder,61044,meeting,responsibility
little,teacher,77658,now,local
training,agreement,50416,outside,organization
since,record,83696,game,trial
future,pull,30581,test,water
agreement,administration,26932,affect,seven
music,modern,33847,bad,take
trip,charge,58953,provide,prove
management,medical,34392,strong,physical
prepare,head,77115,decide,street
particularly,idea,31872,letter,wonder
cover,opportunity,25528,number,social
past,religious,82603,lay,fly
serious,law,36189,discover,data
statement,attention,38107,challenge,area
gas,happen,29399,early,action
factor,dinner,87692,suffer,tonight
education,drop,32,last,none
mother,phone,84958,across,discuss
others,interview,29783,theory,also
hospital,top,57449,recent,talk
station,let,84656,fall,raise
rise,never,5020,system,travel
arm,assume,31068,care,leave
fast,whether,14029,record,center
specific,already,75310,budget,firm
book,read,90855,certainly,item
include,executive,60085,ever,model
edge,trade,94501,mean,else
provide,after,85793,down,Mrs
it,special,3101,participant,conference
account,production,73965,red,institution
rest,chance,6375,attention,agreement
card,research,74107,too,world
they,million,66819,cultural,decision
whom,order,43683,entire,language
capital,material,14597,game,best
tonight,step,86813,forward,culture
fast,happy,73519,body,policy
give,third,77061,until,high
mention,far,74774,member,use
skin,professor,67756,believe,practice
art,inside,52004,worry,them
record,system,74268,store,field
surface,wind,49183,debate,moment
seek,anyone,91108,those,second
debate,act,2482,newspaper,year
his,her,91027,participant,instead
accept,get,37002,community,air
amount,wind,80712,race,most
article,imagine,32295,especially,follow
conference,floor,23194,whatever,strategy
response,southern,57126,ahead,line
article,would,24790,entire,product
child,charge,79504,pass,too
defense,arrive,85167,by,note
learn,them,37382,onto,collection
gas,hotel,60855,movement,available
skill,how,54453,amount,son
attack,sea,57773,whole,once
standard,dog,25724,southern,city
financial,significant,14142,attack,recent
serve,bank,52719,tell,those
suddenly,begin,86403,subject,shake
career,culture,88136,bank,evening
deal,up,34872,all,truth
attorney,last,17163,skill,rise
bag,beat,79922,data,rich
someone,account,15998,police,attention
west,kid,85374,exactly,of
member,poor,86278,civil,game
poor,season,62283,result,I
according,nearly,64704,money,our
accept,wear,77849,direction,rest
machine,television,66460,himself,federal
shake,glass,18777,would,claim
important,skill,36639,knowledge,public
TV,girl,13416,write,perhaps
help,character,12717,over,anyone
public,room,4235,campaign,view
risk,treat,27603,guy,science
beautiful,send,36538,parent,artist
modern,according,67344,particular,PM
dark,choice,28926,manager,executive
glass,class,30334,little,three
officer,choice,64337,surface,feel
rest,modern,97656,sea,senior
poor,start,50926,official,idea
local,know,70322,crime,medical
plan,appear,15487,bank,material
hundred,mouth,5123,available,owner
argue,true,39965,increase,dream
center,human,70145,sell,inside
indicate,third,86013,education,theory
fish,among,58130,similar,feeling
identify,style,56690,entire,yeah
assume,their,28851,join,crime
parent,current,88500,always,late
try,reason,13516,stock,imagine
send,speak,13904,measure,course
policy,stop,92713,watch,task
enough,at,93197,Republican,often
agency,laugh,98193,put,project
bad,leg,8483,recent,next
team,government,70364,simple,necessary
exist,teacher,80399,country,exist
focus,go,15083,challenge,character
imagine,continue,87365,mother,it
every,computer,48494,mother,quickly
statement,door,69625,accept,and
five,very,97631,base,brother
structure,environmental,9805,someone,camera
fast,catch,51107,check,character
majority,commercial,84169,value,agreement
realize,their,80371,see,short
another,federal,31002,different,mission
data,poor,59269,color,glass
how,address,233,draw,away
wind,culture,41113,store,western
customer,they,65559,language,collection
social,base,91659,remain,news
thought,opportunity,31704,leg,sure
well,charge,35887,record,can
finally,official,43362,finish,whether
the,last,76224,civil,management
accept,cut,37779,floor,first
stuff,heavy,11804,none,Mrs
miss,drug,42501,environment,whole
bit,act,3405,office,gas
friend,matter,45722,force,pass
read,form,59113,beyond,clearly
war,national,20706,glass,film
mean,be,63551,decade,ok
thousand,all,33170,rate,speech
many,risk,99722,suffer,shake
least,out,17625,state,sometimes
tonight,authority,21378,tell,research
mean,walk,8233,bag,cell
less,watch,23030,every,bad
over,push,35328,live,then
least,avoid,68187,decade,window
once,open,68422,time,feel
commercial,agency,37737,policy,thank
accept,my,16475,race,coach
sort,president,59389,control,tough
staff,central,63302,world,visit
worker,magazine,45029,modern,sound
citizen,career,79283,vote,possible
dinner,answer,83246,area,billion
church,quickly,48680,type,drop
public,understand,34374,rise,skin
staff,system,82389,various,account
bill,happen,52196,happen,break
miss,central,41386,piece,better
management,college,63395,name,go
site,far,26531,condition,ten
everything,happen,43923,seven,represent
coach,light,90538,style,across
relationship,study,26953,yet,weight
involve,case,9478,smile,list
only,perform,96598,nation,animal
reveal,group,73865,source,expect
build,staff,3086,law,risk
collection,continue,10051,true,hit
individual,baby,12897,attack,field
exist,international,23886,what,major
father,federal,83486,partner,start
response,cover,75165,attorney,purpose
identify,person,59245,resource,else
probably,article,93777,player,simple
fund,high,56289,quality,remain
usually,create,22255,technology,must
forward,drop,23696,level,agreement
officer,candidate,87290,play,value
single,accept,82610,major,civil
instead,range,20170,stage,market
go,represent,29555,describe,likely
very,performance,19459,future,her
even,grow,26138,item,represent
produce,time,70551,treat,share
thank,beat,85728,doctor,themselves
mother,sort,48390,letter,agree
somebody,various,75270,clearly,call
under,tax,39081,fast,now
tell,a,22943,role,among
end,student,94975,thought,imagine
same,natural,41218,foreign,thing
name,street,54417,use,simply
already,range,65952,structure,couple
travel,prove,79233,office,none
hit,want,92342,particularly,program
local,support,19134,hand,occur
war,head,17690,red,particular
both,end,74376,society,later
on,become,29376,forget,stay
benefit,more,48935,imagine,spend
civil,billion,88993,middle,force
commercial,woman,57862,air,our
outside,protect,9683,find,big
data,dark,40651,cell,hour
within,land,5118,attorney,question
result,mission,17367,last,heavy
weight,as,28867,program,owner
spend,begin,20500,cell,body
poor,look,45024,teach,score
policy,nearly,73595,picture,evening
off,coach,38487,drop,black
between,run,86417,not,indicate
area,around,863,instead,always
order,third,56889,necessary,very
yet,time,69832,former,some
million,certain,82322,treat,national
set,class,90373,style,others
figure,few,20566,really,thought
produce,education,57521,suggest,over
another,its,16297,large,house
age,bill,83654,happen,current
four,effect,10248,would,debate
design,ball,84605,wind,science
mother,summer,75894,rise,right
want,top,85964,history,together
staff,analysis,17467,blue,paper
to,western,10001,various,shake
picture,than,84079,worry,material
sea,society,27654,people,trip
upon,treat,41767,still,local
deal,just,15612,best,good
information,per,30039,lawyer,also
wind,believe,7868,husband,identify
fund,election,56326,usually,seven
pay,perform,78671,where,same
us,discussion,25281,view,white
affect,bag,50492,resource,night
low,together,63782,ago,concern
summer,skill,25386,son,make
student,throw,70612,present,piece
professional,after,20466,thus,section
enjoy,natural,48149,bed,score
resource,political,68553,wife,after
father,sure,4175,way,store
near,animal,90739,hope,majority
second,show,84903,change,throw
hour,knowledge,81417,push,break
anything,strategy,80548,air,father
early,two,5654,water,local
third,yeah,61978,age,government
increase,live,21517,huge,college
kitchen,industry,15766,remain,inside
bad,partner,17117,well,rule
stop,food,43598,reason,find
cost,protect,46665,cost,approach
before,letter,22418,method,road
against,say,94211,hair,letter
system,she,62267,parent,determine
near,officer,78002,officer,important
threat,brother,71781,field,must
on,though,3529,same,skin
employee,near,32104,imagine,recognize
message,would,80579,open,article
them,actually,2413,car,third
us,while,17531,southern,hot
above,such,25978,wrong,six
thank,interview,61151,piece,fast
manage,draw,74173,our,head
risk,leader,55506,huge,set
land,each,87114,throw,affect
throughout,call,19878,me,thousand
stage,compare,42509,economic,military
resource,a,67160,effort,responsibility
laugh,culture,58210,right,able
ever,raise,10524,Mrs,group
you,space,79473,rich,speech
drug,product,80482,everybody,smile
world,computer,84257,fight,himself
figure,field,26166,newspaper,player
near,reveal,959,heavy,race
fire,bit,18332,travel,exactly
protect,once,92044,save,stay
school,others,72975,have,agent
plan,item,59070,network,art
market,list,36391,song,senior
ok,religious,57520,forward,crime
mind,some,75337,front,worry
laugh,crime,3260,lay,candidate
voice,coach,27730,performance,event
fact,certainly,5366,especially,woman
yeah,bar,99765,particular,knowledge
out,resource,20476,energy,just
message,consumer,90873,boy,blood
